Longitude;Latitude;timeStamp ;Main (cl/min);Débit GE (ml/min);Débit GI (ml/min);Débit DI (ml/min);Débit DE (ml/min);ref_d1;ref_d2;ref_d3;ref_d4;Speed_brut;Speed_kmh;Speed_moymobile;Pressure_brut;Pressure_bars;Debit_ref_GE;Debit_ref_GI;Debit_ref_DI;Debit_ref_DE;volrate_d1;volrate_d2;volrate_d3;volrate_d4
3.8287016;43.6587948;14:38:57:271;0;1444;1403;1413;1438;76;76;76;76;43;4.3;4.115238095;416;4.16;1563.790476;1563.790476;1563.790476;1563.790476;70.17819949;68.18560518;68.6716038;69.88660032
3.8287016;43.6587948;14:38:57:325;0;1444;1403;1413;1438;76;76;76;76;43;4.3;4.12952381;416;4.16;1569.219048;1569.219048;1569.219048;1569.219048;69.93542435;67.94972325;68.43404059;69.64483395
3.8287016;43.6587948;14:38:57:471;0;1441;1403;1413;1438;76;76;76;76;43;4.3;4.143809524;416;4.16;1574.647619;1574.647619;1574.647619;1574.647619;69.54952884;67.71546771;68.19811538;69.40473454
3.8287037;43.6587936;14:38:57:527;0;1438;1403;1410;1438;76;76;76;76;41.1;4.11;4.158095238;415;4.15;1580.07619;1580.07619;1580.07619;1580.07619;69.16628493;67.4828218;67.81951443;69.16628493
3.8287066;43.6587932;14:38:57:669;0;1438;1406;1406;1441;76;76;76;76;41.1;4.11;4.163333333;415;4.15;1582.066667;1582.066667;1582.066667;1582.066667;69.07926341;67.54203363;67.54203363;69.2233787
3.8287066;43.6587932;14:38:57:766;0;1441;1403;1406;1441;76;76;76;76;41.9;4.19;4.154285714;415;4.15;1578.628571;1578.628571;1578.628571;1578.628571;69.3741403;67.54470426;67.68913343;69.3741403
3.8287092;43.6587927;14:38:57:863;0;1441;1403;1410;1441;76;76;76;76;41.9;4.19;4.149047619;415;4.15;1576.638095;1576.638095;1576.638095;1576.638095;69.46172386;67.62997819;67.96740503;69.46172386
3.8287092;43.6587927;14:38:57:956;0;1441;1400;1410;1441;76;76;76;76;41.9;4.19;4.143809524;414;4.14;1574.647619;1574.647619;1574.647619;1574.647619;69.54952884;67.57067341;68.05332108;69.54952884
3.8287114;43.6587913;14:38:58:049;0;1441;1400;1410;1441;76;76;76;76;41.9;4.19;4.138571429;414;4.14;1572.657143;1572.657143;1572.657143;1572.657143;69.63755609;67.65619606;68.13945461;69.63755609
3.8287114;43.6587913;14:38:58:149;0;1441;1400;1410;1441;76;76;76;76;41.9;4.19;4.138571429;413;4.13;1572.657143;1572.657143;1572.657143;1572.657143;69.63755609;67.65619606;68.13945461;69.63755609
3.8287135;43.65879;14:38:58:248;0;1441;1400;1410;1441;76;76;76;76;41.9;4.19;4.138571429;413;4.13;1572.657143;1572.657143;1572.657143;1572.657143;69.63755609;67.65619606;68.13945461;69.63755609
3.8287135;43.65879;14:38:58:339;0;1441;1403;1410;1444;76;76;76;76;41.1;4.11;4.138571429;413;4.13;1572.657143;1572.657143;1572.657143;1572.657143;69.63755609;67.80117363;68.13945461;69.78253366
3.8287163;43.6587893;14:38:58:481;0;1441;1403;1403;1447;76;76;76;76;41.1;4.11;4.134761905;413;4.13;1571.209524;1571.209524;1571.209524;1571.209524;69.701716;67.8636416;67.8636416;69.99193827
3.8287163;43.6587893;14:38:58:536;0;1447;1403;1403;1444;76;76;76;76;43;4.3;4.14;415;4.15;1573.2;1573.2;1573.2;1573.2;69.90338164;67.77777778;67.77777778;69.75845411
3.828719;43.6587888;14:38:58:679;0;1447;1403;1403;1447;76;76;76;76;43;4.3;4.154285714;415;4.15;1578.628571;1578.628571;1578.628571;1578.628571;69.66299862;67.54470426;67.54470426;69.66299862
3.828719;43.6587888;14:38:58:775;0;1447;1406;1400;1447;76;76;76;76;41.9;4.19;4.143809524;416;4.16;1574.647619;1574.647619;1574.647619;1574.647619;69.83911744;67.86026201;67.57067341;69.83911744
3.8287215;43.6587878;14:38:58:871;0;1444;1409;1400;1447;76;76;76;76;41.9;4.19;4.128095238;416;4.16;1568.67619;1568.67619;1568.67619;1568.67619;69.95962625;68.26392894;67.82789249;70.10497174
3.8287215;43.6587878;14:38:58:964;0;1444;1409;1397;1444;76;76;76;76;41.1;4.11;4.147619048;417;4.17;1576.095238;1576.095238;1576.095238;1576.095238;69.63030999;67.94259472;67.36394948;69.63030999
3.8287235;43.6587864;14:38:59:061;0;1444;1409;1397;1444;76;76;76;76;41.1;4.11;4.163333333;417;4.17;1582.066667;1582.066667;1582.066667;1582.066667;69.367494;67.68614892;67.10968775;69.367494
3.8287235;43.6587864;14:38:59:155;0;1444;1409;1394;1447;76;76;76;76;41.1;4.11;4.179047619;418;4.18;1588.038095;1588.038095;1588.038095;1588.038095;69.10665451;67.43163172;66.71376481;69.25022789
3.8287259;43.6587852;14:38:59:249;0;1447;1406;1394;1447;76;76;76;76;41.1;4.11;4.194761905;418;4.18;1594.009524;1594.009524;1594.009524;1594.009524;68.99080486;67.03598592;66.4638438;68.99080486
3.8287259;43.6587852;14:38:59:349;0;1451;1406;1394;1447;76;76;76;76;43;4.3;4.185714286;419;4.19;1590.571429;1590.571429;1590.571429;1590.571429;69.33105802;67.18088737;66.60750853;69.13993174
3.8287286;43.6587845;14:38:59:447;0;1454;1406;1394;1447;76;76;76;76;43;4.3;4.185714286;419;4.19;1590.571429;1590.571429;1590.571429;1590.571429;69.47440273;67.18088737;66.60750853;69.13993174
3.8287286;43.6587845;14:38:59:541;0;1451;1406;1394;1447;76;76;76;76;43;4.3;4.185714286;420;4.2;1590.571429;1590.571429;1590.571429;1590.571429;69.33105802;67.18088737;66.60750853;69.13993174
3.8287313;43.6587838;14:38:59:685;0;1451;1406;1394;1447;76;76;76;76;43;4.3;4.185714286;420;4.2;1590.571429;1590.571429;1590.571429;1590.571429;69.33105802;67.18088737;66.60750853;69.13993174
3.8287313;43.6587838;14:38:59:781;0;1451;1403;1397;1444;76;76;76;76;43;4.3;4.194761905;420;4.2;1594.009524;1594.009524;1594.009524;1594.009524;69.1815189;66.89295039;66.60687933;68.84776933
3.8287335;43.6587825;14:38:59:880;0;1451;1403;1397;1447;76;76;76;76;41.1;4.11;4.203809524;420;4.2;1597.447619;1597.447619;1597.447619;1597.447619;69.03262347;66.74898052;66.46352515;68.84231989
3.8287335;43.6587825;14:38:59:981;0;1447;1400;1397;1447;76;76;76;76;41.1;4.11;4.2;419;4.19;1596;1596;1596;1596;68.9047619;66.66666667;66.52380952;68.9047619
3.8287356;43.6587811;14:39:00:083;0;1447;1400;1400;1450;76;76;76;76;41.1;4.11;4.196190476;419;4.19;1594.552381;1594.552381;1594.552381;1594.552381;68.96731729;66.7271902;66.7271902;69.11030413
3.8287356;43.6587811;14:39:00:182;0;1444;1400;1400;1450;76;76;76;76;41.1;4.11;4.192380952;419;4.19;1593.104762;1593.104762;1593.104762;1593.104762;68.8868696;66.78782372;66.78782372;69.17310313
3.8287382;43.6587801;14:39:00:282;0;1444;1400;1400;1450;76;76;76;76;44.1;4.41;4.188571429;419;4.19;1591.657143;1591.657143;1591.657143;1591.657143;68.94952251;66.84856753;66.84856753;69.23601637
3.8287382;43.6587801;14:39:00:372;0;1441;1400;1403;1454;76;76;76;76;44.1;4.41;4.199047619;419;4.19;1595.638095;1595.638095;1595.638095;1595.638095;68.63461102;66.68178725;66.8246768;69.25379905
3.8287409;43.6587795;14:39:00:470;0;1441;1400;1403;1454;76;76;76;76;41.9;4.19;4.20952381;419;4.19;1599.619048;1599.619048;1599.619048;1599.619048;68.4638009;66.5158371;66.65837104;69.08144796
3.8287409;43.6587795;14:39:00:572;0;1441;1403;1410;1457;76;76;76;76;41.9;4.19;4.213333333;418;4.18;1601.066667;1601.066667;1601.066667;1601.066667;68.40189873;66.59810127;66.93037975;69.16139241
3.8287434;43.6587786;14:39:00:667;0;1438;1403;1410;1457;76;76;76;76;40;4;4.217142857;418;4.18;1602.514286;1602.514286;1602.514286;1602.514286;68.19783198;66.53794038;66.8699187;69.09891599
3.8287434;43.6587786;14:39:00:760;0;1438;1403;1413;1460;76;76;76;76;40;4;4.202857143;418;4.18;1597.085714;1597.085714;1597.085714;1597.085714;68.4296397;66.76410605;67.23997281;69.47654657
3.8287456;43.6587774;14:39:00:852;0;1438;1403;1416;1463;76;76;76;76;40;4;4.188571429;418;4.18;1591.657143;1591.657143;1591.657143;1591.657143;68.66302865;66.99181446;67.61255116;69.85675307
3.8287456;43.6587774;14:39:00:990;0;1438;1403;1416;1463;76;76;76;76;40;4;4.17952381;419;4.19;1588.219048;1588.219048;1588.219048;1588.219048;68.81166686;67.13683491;67.75891535;70.00797539
3.8287481;43.6587763;14:39:01:092;0;1438;1403;1416;1463;76;76;76;76;43;4.3;4.17047619;419;4.19;1584.780952;1584.780952;1584.780952;1584.780952;68.96094999;67.28248459;67.90591459;70.15985385
3.8287481;43.6587763;14:39:01:192;0;1441;1403;1413;1463;76;76;76;76;43;4.3;4.17952381;418;4.18;1588.219048;1588.219048;1588.219048;1588.219048;68.95522388;67.13683491;67.61535832;70.00797539
3.8287505;43.6587754;14:39:01:288;0;1441;1403;1413;1463;76;76;76;76;40;4;4.188571429;418;4.18;1591.657143;1591.657143;1591.657143;1591.657143;68.80627558;66.99181446;67.46930423;69.85675307
3.8287505;43.6587754;14:39:01:377;0;1441;1403;1413;1463;76;76;76;76;40;4;4.183333333;418;4.18;1589.666667;1589.666667;1589.666667;1589.666667;68.89243028;67.07569721;67.55378486;69.94422311
3.8287531;43.6587748;14:39:01:469;0;1441;1400;1413;1460;76;76;76;76;40;4;4.178095238;418;4.18;1587.67619;1587.67619;1587.67619;1587.67619;68.978801;67.01618418;67.63847732;69.88830636
3.8287531;43.6587748;14:39:01:567;0;1441;1400;1413;1460;76;76;76;76;40;4;4.163809524;418;4.18;1582.247619;1582.247619;1582.247619;1582.247619;69.21546203;67.24611162;67.8705398;70.12808783
3.8287557;43.658774;14:39:01:666;0;1441;1400;1413;1460;76;76;76;76;41.1;4.11;4.14952381;418;4.18;1576.819048;1576.819048;1576.819048;1576.819048;69.45375258;67.47762222;68.10420014;70.36952031
3.8287557;43.658774;14:39:01:758;0;1441;1400;1413;1457;76;76;76;76;41.1;4.11;4.14047619;417;4.17;1573.380952;1573.380952;1573.380952;1573.380952;69.60552041;67.62507188;68.25301898;70.37837838
3.8287581;43.6587729;14:39:01:901;0;1441;1403;1413;1457;76;76;76;76;41.9;4.19;4.131428571;417;4.17;1569.942857;1569.942857;1569.942857;1569.942857;69.75795297;67.91839557;68.40248963;70.53250346
